XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
180699.2514,2488441.233,282,278,142,34.67112658
180699.2514,2488441.233,282,285,144,10.08123962
180689.7609,2488444.633,285,249,143,123.5394184
180689.7609,2488444.633,285,282,144,10.08123962
180689.7609,2488444.633,285,309,155,82.22703724
179700.1436,2488433.454,289,249,145,1004.644295
179700.1436,2488433.454,289,237,146,336.7805525
179700.1436,2488433.454,289,331,166,241.3595938
179300.8513,2488479.094,294,275,147,58.7247965
181070.5596,2488483.007,296,272,148,112.90751
181070.5596,2488483.007,296,258,149,166.1197073
181070.5596,2488483.007,296,376,188,403.1118133
178762.0373,2488504.707,300,261,150,240.2235144
178762.0373,2488504.707,300,228,151,301.043645
178762.0373,2488504.707,300,382,192,305.5349194
180761.147,2488508.226,304,278,152,83.43881294
180761.147,2488508.226,304,309,156,55.57038188
180761.147,2488508.226,304,342,171,171.2998408
179360.9888,2488508.641,305,275,153,93.53339364
180905.7365,2488516.783,308,272,154,123.9119181
180905.7365,2488516.783,308,316,159,35.34130768
180723.3777,2488519.673,309,285,155,82.22703724
180723.3777,2488519.673,309,304,156,55.57038188
180723.3777,2488519.673,309,347,174,175.7753514
179437.1622,2488537.396,313,253,157,222.803703
179437.1622,2488537.396,313,320,160,54.90889929
179437.1622,2488537.396,313,343,172,260.6795425
180884.8249,2488545.273,316,267,158,176.1548537
180884.8249,2488545.273,316,308,159,35.34130768
180884.8249,2488545.273,316,432,216,553.8467303
180884.8249,2488545.273,316,474,237,586.3710209
179389.4858,2488554.37,320,313,160,54.90889929
179390.0132,2488579.723,321,322,161,2.83471863
179392.615,2488578.597,322,321,161,2.83471863
179392.615,2488578.597,322,405,203,338.94735
246553.8935,2488593.525,323,263,162,248.8492448
246553.8935,2488593.525,323,263,163,510.8453143
246553.8935,2488593.525,323,410,206,338.6752366
248183.8516,2487999.352,327,328,164,967.4426871
247522.3295,2488614.994,328,327,164,967.4426871
247522.3295,2488614.994,328,726,364,1044.419541
178127.78,2488618.678,329,187,165,531.5972305
178127.78,2488618.678,329,365,183,90.00607138
178127.78,2488618.678,329,216,186,737.864024
179843.8953,2488626.683,331,289,166,241.3595938
179843.8953,2488626.683,331,337,170,92.63105484
